sentence,entities
Where is 445 PALMER  ST located?,"[(13, 23, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am at 674 CL0053 in Mont Albert.,"[(12, 18, 'STREET_NAME'), (22, 33, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need directions to MCGRATHS  LANE in Oak Park.,"[(21, 35, 'STREET_NAME'), (39, 47, 'SUBURB')]"
Where is 717 AGNES  STREET located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Mentone.,"[(16, 23, 'SUBURB')]"
I am here at 690 CL0160.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Can you guide me to 968 PL5031, Heidelberg Heights?","[(24, 30, 'STREET_NAME'), (32, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on PL5231.","[(19, 25, 'STREET_NAME')]"
I am here at 495 MICHAEL  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 30 TYRONE  STREET.,"[(21, 35, 'STREET_NAME'), (18, 20, 'STREET_NUMBER')]"
I am currently at 864 PL5331.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to CL1266 in Boronia.,"[(21, 27, 'STREET_NAME'), (31, 38, 'SUBURB')]"
"Can you guide me to 566 MUNROS  LANE, Chelsea Heights?","[(24, 36, 'STREET_NAME'), (38, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Mount Martha.,"[(16, 28, 'SUBURB')]"
I need to go to Delahey.,"[(16, 23, 'SUBURB')]"
I'm heading towards 898 BENDALL  STREET in Yarrambat.,"[(24, 39, 'STREET_NAME'), (43, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 625 NELSON  D in Melbourne Airport.,"[(24, 33, 'STREET_NAME'), (37, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 484 VALE  STREET, Burwood.","[(11, 23, 'STREET_NAME'), (25, 32, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 605 PARLIAMENT  PLACE.,"[(24, 41, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on HARDWICK  LANE in Campbellfield.,"[(7, 21, 'STREET_NAME'), (25, 38, 'SUBURB')]"
I need to get to 557 GEORGE  LA.,"[(21, 31, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Can you guide me to 869 BOOM  PLACE, Kilsyth South?","[(24, 35, 'STREET_NAME'), (37, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 421 CL1249.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 767 GARTON  STREET.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 583 THE CRESCENT.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on ELECTRIC  PLACE in Collingwood.,"[(7, 22, 'STREET_NAME'), (26, 37, 'SUBURB')]"
I need to get here: 694 BUNCLE  STREET.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on MANCHESTER  LANE in Aspendale.,"[(7, 23, 'STREET_NAME'), (27, 36, 'SUBURB')]"
I am currently at 939 LADY  HASTINGS  LANE.,"[(22, 42, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am at 947 POOL  ST in Parkdale.,"[(12, 20, 'STREET_NAME'), (24, 32, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am at 714 HIGH  STREET in Keilor Park.,"[(12, 24, 'STREET_NAME'), (28, 39, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am currently at 683 PL5082.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 17 HORNSBY  LANE.,"[(10, 23, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I’m at 413 McCRACKEN  STREET.,"[(11, 28, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am at 22 YOUNGS  PLACE in Essendon Fields.,"[(11, 24, 'STREET_NAME'), (28, 43, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I'm on TOPE  ST in Clayton.,"[(7, 15, 'STREET_NAME'), (19, 26, 'SUBURB')]"
"I'm at 987 ROYAL  PARADE, Heidelberg Heights.","[(11, 24, 'STREET_NAME'), (26, 44, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 6 KERFERD  PL in Dandenong North.,"[(22, 33, 'STREET_NAME'), (37, 52, 'SUBURB'), (20, 21, 'STREET_NUMBER')]"
I am currently at 543 MALONEY  STREET.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach HOWARD  STREET.,"[(21, 35, 'STREET_NAME')]"
I'm on PL5237 in Aspendale.,"[(7, 13, 'STREET_NAME'), (17, 26, 'SUBURB')]"
I'm heading towards 763 MOUNTAIN  ST in Sherbrooke.,"[(24, 36, 'STREET_NAME'), (40, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 691 CL1619  PRIV..,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am currently at 816 PL5040.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 681 STORY  STREET.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach CL1286.,"[(21, 27, 'STREET_NAME')]"
I am currently at 829 POINT  PARK  CRESCENT.,"[(22, 43, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get to 753 KNOX  PLACE.,"[(21, 32, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I’m at 821 MCDOUGALL  LANE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here at 724 FRESHWATER  PLACE.,"[(17, 34, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on CL1681.","[(19, 25, 'STREET_NAME')]"
"Can you guide me to 333 CURZON  STREET, Williamstown?","[(24, 38, 'STREET_NAME'), (40, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 593 MARY  STREET.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 855 FAUSSET  ST.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
Where is 246 SWANSTON  STREET located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 956 HARWOOD  PLACE.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on BEATONS  LANE.","[(19, 32, 'STREET_NAME')]"
Where is 398 SMITHFIELD  ROAD located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am at 102 EADES  STREET in Bayswater.,"[(12, 25, 'STREET_NAME'), (29, 38, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here in Panton Hill.,"[(13, 24, 'SUBURB')]"
Where is 918 LOUDEN  PLACE located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I’m at 672 WILLIS  STREET.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach ARNOLD  STREET.,"[(21, 35, 'STREET_NAME')]"
I am currently at 703 SWAN  ST.,"[(22, 30, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
Where is 611 COOKS  LANE located?,"[(13, 24, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am at 543 CARLISLE  ST in Park Orchards.,"[(12, 24, 'STREET_NAME'), (28, 41, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get here: 256 PL5076.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 632 JAGEURS  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here in Mentone.,"[(13, 20, 'SUBURB')]"
I am trying to reach N  RD.,"[(21, 26, 'STREET_NAME')]"
I need to get here: 83 QUEENS  RD.,"[(23, 33, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I’m at 448 FLAGSTAFF  LANE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am at 428 NAPIER  ST in Dingley Village.,"[(12, 22, 'STREET_NAME'), (26, 41, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"I'm at 111 HOPETOUN  BRIDGE, Macleod.","[(11, 27, 'STREET_NAME'), (29, 36, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here in Lysterfield South.,"[(13, 30, 'SUBURB')]"
I am trying to reach UNIVERSITY  STREET.,"[(21, 39, 'STREET_NAME')]"
I am currently at 746 GEDDES  LANE.,"[(22, 34, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here in Kilsyth South.,"[(13, 26, 'SUBURB')]"
Where is 22 MIDDLETON  LA located?,"[(12, 25, 'STREET_NAME'), (9, 11, 'STREET_NUMBER')]"
I’m at 891 CARROLLS  LANE.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"I'm at 156 HIGHLANDER  LANE, Thomastown.","[(11, 27, 'STREET_NAME'), (29, 39, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 472 PL5321.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 852 EADES  STREET.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here at 919 DIGITAL  DRIVE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 711 CL1098 in Maidstone.,"[(12, 18, 'STREET_NAME'), (22, 31, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm heading towards 234 CL0049 in Heidelberg West.,"[(24, 30, 'STREET_NAME'), (34, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 723 CL1098, The Basin?","[(24, 30, 'STREET_NAME'), (32, 41, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Hadfield.,"[(13, 21, 'SUBURB')]"
"I'm at 32 OLA COHN  PLACE, Box Hill South.","[(10, 25, 'STREET_NAME'), (27, 41, 'SUBURB'), (7, 9, 'STREET_NUMBER')]"
I am trying to reach BOURKE  STREET.,"[(21, 35, 'STREET_NAME')]"
I am here in Glenroy.,"[(13, 20, 'SUBURB')]"
"I'm at 551 LITTLE CURRAN  STREET, Hampton.","[(11, 32, 'STREET_NAME'), (34, 41, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on ERSKINE LANE.","[(19, 31, 'STREET_NAME')]"
I am at 402 ARMSTRONG  ST in Mentone.,"[(12, 25, 'STREET_NAME'), (29, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am trying to reach PL5241.,"[(21, 27, 'STREET_NAME')]"
I need to get here: 674 TAYLOR  MEWS.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
Where is 39 EPSOM  RD located?,"[(12, 21, 'STREET_NAME'), (9, 11, 'STREET_NUMBER')]"
How do I get to 88 MOORE  STREET?,"[(19, 32, 'STREET_NAME'), (16, 18, 'STREET_NUMBER')]"
I'm on IFFLA  ST in Somerton.,"[(7, 16, 'STREET_NAME'), (20, 28, 'SUBURB')]"
"I'm at 426 (EASTERN HWY), Taylors Lakes.","[(11, 24, 'STREET_NAME'), (26, 39, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm on CL1651 in Greenvale Lakes.,"[(7, 13, 'STREET_NAME'), (17, 32, 'SUBURB')]"
"Currently, I am on PH8022.","[(19, 25, 'STREET_NAME')]"
"Can you guide me to 757 PL5106, Mill Park?","[(24, 30, 'STREET_NAME'), (32, 41, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 943 CL1062 in Tullamarine.,"[(24, 30, 'STREET_NAME'), (34, 45, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 282 NEILL  STREET.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm on RANKINS  ROAD in Waterways.,"[(7, 20, 'STREET_NAME'), (24, 33, 'SUBURB')]"
I'm on MCDOUGALL  LANE in Brunswick.,"[(7, 22, 'STREET_NAME'), (26, 35, 'SUBURB')]"
I'm heading towards 957 HOPETOUN  STREET in Endeavour Hills.,"[(24, 40, 'STREET_NAME'), (44, 59, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 296 NEPTUNE  ST.,"[(24, 35, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am currently at 853 CL1094.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am currently at 317 MOUBRAY  STREET.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 463 MERRIMAN  LANE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here in Essendon West.,"[(13, 26, 'SUBURB')]"
"Currently, I am on EAGLE  ALLEY.","[(19, 31, 'STREET_NAME')]"
I am here at 639 RANKINS  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
How do I get to 513 LYGON  STREET?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
How do I get to 608 PL5309?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here in Keysborough.,"[(13, 24, 'SUBURB')]"
I am trying to reach PL5322.,"[(21, 27, 'STREET_NAME')]"
I need directions to GLASS  STREET in Huntingdale.,"[(21, 34, 'STREET_NAME'), (38, 49, 'SUBURB')]"
I am here at 730 CL1215.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on WELLS  STREET.","[(19, 32, 'STREET_NAME')]"
I am at 260 LA NAUZE  LANE in Bellfield.,"[(12, 26, 'STREET_NAME'), (30, 39, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here at 885 MCDONALD  LANE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"I'm at 92 CL1148, Ferny Creek.","[(10, 16, 'STREET_NAME'), (18, 29, 'SUBURB'), (7, 9, 'STREET_NUMBER')]"
I am here in Moorabbin.,"[(13, 22, 'SUBURB')]"
I am trying to reach MISSION  PLACE.,"[(21, 35, 'STREET_NAME')]"
I am currently at 117 MAYFIELD  PLACE.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 471 MADAME  BRUSSELS  LANE.,"[(17, 39, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm heading towards 700 McCRAE  STREET in Kurunjang.,"[(24, 38, 'STREET_NAME'), (42, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 19 SHERWOOD  ST, Dingley Village?","[(23, 35, 'STREET_NAME'), (37, 52, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am trying to reach CL1609.,"[(21, 27, 'STREET_NAME')]"
"Can you guide me to 671 ST PATRICKS  ALLEY, Ardeer?","[(24, 42, 'STREET_NAME'), (44, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on GOLDIE  PLACE.","[(19, 32, 'STREET_NAME')]"
I need to go to Yarraville.,"[(16, 26, 'SUBURB')]"
I am trying to reach LINCOLN  SQUARE SOUTH.,"[(21, 42, 'STREET_NAME')]"
I am at 525 CL1417 in Elsternwick.,"[(12, 18, 'STREET_NAME'), (22, 33, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"I'm at 415 DANKS  ST, Upfield.","[(11, 20, 'STREET_NAME'), (22, 29, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
Where is 553 CURTAIN  ST located?,"[(13, 24, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm on CL0468 in Sunbury.,"[(7, 13, 'STREET_NAME'), (17, 24, 'SUBURB')]"
I'm on FARADAY  LANE in Caroline Springs.,"[(7, 20, 'STREET_NAME'), (24, 40, 'SUBURB')]"
I need to get to 808 PH8038.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on MALONEY  STREET.","[(19, 34, 'STREET_NAME')]"
Where is 136 ENFIELD  ST located?,"[(13, 24, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Canterbury.,"[(13, 23, 'SUBURB')]"
I am currently at 558 POWELL  ST.,"[(22, 32, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm on CL1676 in Belgrave Heights.,"[(7, 13, 'STREET_NAME'), (17, 33, 'SUBURB')]"
I'm on PL5205 in Noble Park North.,"[(7, 13, 'STREET_NAME'), (17, 33, 'SUBURB')]"
I need to go to Aberfeldie.,"[(16, 26, 'SUBURB')]"
"I'm at 930 GALADA  AVENUE, Dandenong North.","[(11, 25, 'STREET_NAME'), (27, 42, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 12 PL5074 in Warranwood.,"[(23, 29, 'STREET_NAME'), (33, 43, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am at 540 HAYES  LANE in Carlton.,"[(12, 23, 'STREET_NAME'), (27, 34, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here at 791 HAROLD  ST.,"[(17, 27, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to PL5382 in Kingsville.,"[(21, 27, 'STREET_NAME'), (31, 41, 'SUBURB')]"
"Currently, I am on CL1179.","[(19, 25, 'STREET_NAME')]"
I need directions to CL1265 in Aspendale Gardens.,"[(21, 27, 'STREET_NAME'), (31, 48, 'SUBURB')]"
I'm on GRACIE  STREET in Braeside.,"[(7, 21, 'STREET_NAME'), (25, 33, 'SUBURB')]"
I need to go to Flemington.,"[(16, 26, 'SUBURB')]"
I need to get to 923 PL5287.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am currently at 176 PL5109.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 141 SMYTHE  LANE.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"I'm at 850 CL1272, Highett.","[(11, 17, 'STREET_NAME'), (19, 26, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here at 575 PERCY  STREET.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on HUBBUCK  LANE.","[(19, 32, 'STREET_NAME')]"
I am at 28 ROYAL  ARCADE in Ringwood.,"[(11, 24, 'STREET_NAME'), (28, 36, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
Where is 132 PT5054 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm on POWER  STREET in Research.,"[(7, 20, 'STREET_NAME'), (24, 32, 'SUBURB')]"
I need to go to Deer Park.,"[(16, 25, 'SUBURB')]"
I am here in Box Hill North.,"[(13, 27, 'SUBURB')]"
"I'm at 337 PL5081, The Patch.","[(11, 17, 'STREET_NAME'), (19, 28, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 356 LEONARD  CRESCENT.,"[(24, 41, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on VICTORIA   ST in Mount Martha.,"[(7, 20, 'STREET_NAME'), (24, 36, 'SUBURB')]"
I'm on CL194 in Frankston South.,"[(7, 12, 'STREET_NAME'), (16, 31, 'SUBURB')]"
Where is 760 MERCANTILE  PARADE located?,"[(13, 31, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I’m at 305 CL1756.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"I'm at 393 OBSERVATION  DRIVE, Mount Waverley.","[(11, 29, 'STREET_NAME'), (31, 45, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 595 PL5163.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 850 CL1163.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"I'm at 854 TODD  ROAD, Kallista.","[(11, 21, 'STREET_NAME'), (23, 31, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
Where is 921 SOPHIE  LANE located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here at 530 LAURENS  STREET.,"[(17, 32, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm heading towards 379 MEDICAL  ROAD in Macclesfield.,"[(24, 37, 'STREET_NAME'), (41, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 147 ZEVENBOOM  LANE.,"[(21, 36, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 708 CL0451 in Braeside.,"[(24, 30, 'STREET_NAME'), (34, 42, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 288 VICTORIA  PLACE in Plenty.,"[(24, 39, 'STREET_NAME'), (43, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 592 TRINITY  PLACE.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I'm on GORE  ST in Mickleham.,"[(7, 15, 'STREET_NAME'), (19, 28, 'SUBURB')]"
I am currently at 324 EMU  LANE.,"[(22, 31, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 819 SPRING  ST  WEST.,"[(17, 33, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here at 819 BRENTANI  WAY.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 567 KURNEH  PLACE in Knoxfield.,"[(12, 25, 'STREET_NAME'), (29, 38, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here in Keilor Park.,"[(13, 24, 'SUBURB')]"
I am here at 316 BARRY  LANE.,"[(17, 28, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on WADEY  STREET in East Melbourne.,"[(7, 20, 'STREET_NAME'), (24, 38, 'SUBURB')]"
"Can you guide me to 482 WELLINGTON  CRESCENT, Dromana?","[(24, 44, 'STREET_NAME'), (46, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach PL5268.,"[(21, 27, 'STREET_NAME')]"
"I'm at 123 STEWART  ST, Kingsbury.","[(11, 22, 'STREET_NAME'), (24, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 730 WHITE HART  LANE, Jacana?","[(24, 40, 'STREET_NAME'), (42, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 178 LITTLE CURRAN  STREET.,"[(17, 38, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to ALFRED  LANE  (PRIVATE) in Warranwood.,"[(21, 44, 'STREET_NAME'), (48, 58, 'SUBURB')]"
I need to go to Alphington.,"[(16, 26, 'SUBURB')]"
I need to go to Pascoe Vale.,"[(16, 27, 'SUBURB')]"
I need to go to Oakleigh East.,"[(16, 29, 'SUBURB')]"
I need to get here: 328 RODEN  STREET.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to go to Cranbourne East.,"[(16, 31, 'SUBURB')]"
I am here at 166 STURT  STREET.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here at 109 FREEMAN  ST.,"[(17, 28, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am trying to reach FORD  ST.,"[(21, 29, 'STREET_NAME')]"
I’m at 11 PL5342.,"[(10, 16, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I need to go to Ivanhoe East.,"[(16, 28, 'SUBURB')]"
Where is 872 CL0177 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get to 109 PT5112.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to get to 513 PL5108.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"I'm at 463 SWANSTON  STREET, Clayton South.","[(11, 27, 'STREET_NAME'), (29, 42, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need directions to WARWICK  STREET in Calder Park.,"[(21, 36, 'STREET_NAME'), (40, 51, 'SUBURB')]"
"Can you guide me to 708 CL0318, Briar Hill?","[(24, 30, 'STREET_NAME'), (32, 42, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 854 ALBERT  RD, Mont Albert.","[(11, 21, 'STREET_NAME'), (23, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need directions to CHISHOLM  PLACE in Kings Park.,"[(21, 36, 'STREET_NAME'), (40, 50, 'SUBURB')]"
"Can you guide me to 725 BAUDIN  LANE, Keysborough?","[(24, 36, 'STREET_NAME'), (38, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 47 HAYES  LANE.,"[(21, 32, 'STREET_NAME'), (18, 20, 'STREET_NUMBER')]"
I need to go to Wyndham Vale.,"[(16, 28, 'SUBURB')]"
I am here in Mont Albert North.,"[(13, 30, 'SUBURB')]"
I’m at 474 PL5217.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
Where is 452 CL143 located?,"[(13, 18, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need directions to LACEY  PLACE in Research.,"[(21, 33, 'STREET_NAME'), (37, 45, 'SUBURB')]"
I am here in Williamstown.,"[(13, 25, 'SUBURB')]"
"Currently, I am on STAR  CRESCENT.","[(19, 33, 'STREET_NAME')]"
I need to get to 871 CHALLIS  LANE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Can you guide me to 309 TODD  ROAD, Langwarrin?","[(24, 34, 'STREET_NAME'), (36, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 863 CL1163.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
How do I get to 172 NEVILLE  ST?,"[(20, 31, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here in Endeavour Hills.,"[(13, 28, 'SUBURB')]"
I'm on PL5221 in Doreen.,"[(7, 13, 'STREET_NAME'), (17, 23, 'SUBURB')]"
I need directions to PL5268 in Coburg North.,"[(21, 27, 'STREET_NAME'), (31, 43, 'SUBURB')]"
"Can you guide me to 241 ELLIOTT  PLACE, Springvale?","[(24, 38, 'STREET_NAME'), (40, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 818 CECIL  ST.,"[(11, 20, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 86 AUSTRAL  PLACE.,"[(23, 37, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I am trying to reach PL5003.,"[(21, 27, 'STREET_NAME')]"
"I'm at 950 TOORAK  ROAD, Newport.","[(11, 23, 'STREET_NAME'), (25, 32, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm on DEL MONACO  LANE in Avonsleigh.,"[(7, 23, 'STREET_NAME'), (27, 37, 'SUBURB')]"
I am here in Croydon.,"[(13, 20, 'SUBURB')]"
I need to go to Brunswick East.,"[(16, 30, 'SUBURB')]"
